"species"	"x"	"y"
"Sp_17"	-71.6251935	-15.2918455
"Sp_17"	-71.2085285	-13.8751845
"Sp_17"	-69.7085345	-17.5418365
"Sp_17"	-69.0418705	-18.9584975
"Sp_17"	-73.4585195	-14.3751825
"Sp_17"	-71.4585275	-15.2085125
"Sp_17"	-68.8752045	-18.9584975
"Sp_17"	-72.7085225	-15.4585115
"Sp_17"	-69.9585335	-14.5418485
"Sp_17"	-68.0418745	-16.3751745
"Sp_17"	-70.9585295	-15.7918435
"Sp_17"	-71.2085285	-14.3751825
"Sp_17"	-69.2085365	-18.7084985
"Sp_17"	-68.5418725	-19.5418285
"Sp_17"	-68.2918735	-15.8751765
"Sp_17"	-71.0418625	-14.3751825
"Sp_17"	-70.0418665	-16.4585075
"Sp_17"	-69.9585335	-14.6251815
"Sp_17"	-70.6251975	-14.2085165
"Sp_17"	-72.1251915	-15.0418465
"Sp_17"	-70.5418645	-16.1251755
"Sp_17"	-72.3751905	-14.2085165
"Sp_17"	-73.6251855	-14.4585155
"Sp_17"	-70.5418645	-14.3751825
"Sp_17"	-70.7085305	-15.7085105
"Sp_17"	-71.5418605	-14.9585135
"Sp_17"	-70.2918655	-14.2918495
"Sp_17"	-70.9585295	-16.0418425
"Sp_17"	-68.5418725	-18.7918315
"Sp_17"	-72.2085245	-14.4585155
"Sp_17"	-71.8751925	-14.2085165
"Sp_17"	-72.0418585	-15.9585095
"Sp_17"	-70.8751965	-16.0418425
"Sp_18"	-57.4585835	-28.2084605
"Sp_18"	-51.6252735	-17.2085045
"Sp_18"	-60.3752385	-33.5417725
"Sp_18"	-64.1252235	-29.6251215
"Sp_18"	-57.7085825	-29.6251215
"Sp_18"	-61.3752345	-26.6251335
"Sp_18"	-61.2919015	-26.9584655
"Sp_18"	-61.3752345	-23.1251475
"Sp_18"	-61.0419025	-24.1251435
"Sp_18"	-62.2918975	-26.4584675
"Sp_18"	-61.5419005	-26.7917995
"Sp_18"	-59.5419085	-24.4584755
"Sp_18"	-57.4585835	-31.7917795
"Sp_18"	-61.8752325	-27.6251295
"Sp_18"	-64.8752205	-30.6251175
"Sp_18"	-64.6252215	-24.5418085
"Sp_18"	-51.8752725	-22.4584835
"Sp_18"	-62.4585635	-25.7084705
"Sp_18"	-55.7919235	-21.6251535
"Sp_18"	-58.1252475	-23.4584795
"Sp_18"	-63.7085585	-33.3751065
"Sp_18"	-62.9585615	-20.8751565
"Sp_18"	-42.2919775	-17.2918375
"Sp_18"	-63.2085605	-25.2918055
"Sp_18"	-59.2085765	-23.2918135
"Sp_18"	-67.5418765	-30.2917855
"Sp_18"	-65.4585515	-28.6251255
"Sp_18"	-58.5419125	-28.7084585
"Sp_18"	-42.7919755	-16.8751725
"Sp_18"	-50.4586115	-22.5418165
"Sp_18"	-58.0419145	-32.2917775
"Sp_18"	-64.6252215	-19.7084945
"Sp_18"	-56.2085885	-20.2918255
"Sp_18"	-50.9586095	-19.0418305
"Sp_34"	-70.7085305	-11.9585255
"Sp_34"	-55.2085925	-8.1252075
"Sp_34"	-71.2085285	-12.0418585
"Sp_34"	-68.2085405	-11.2918615
"Sp_34"	-68.4585395	-7.2085445
"Sp_34"	-68.2918735	-13.7918515
"Sp_34"	-71.3751945	-8.4585395
"Sp_34"	-64.9585535	-5.3752185
"Sp_34"	-67.2918775	-5.0418865
"Sp_34"	-71.2085285	-7.4585435
"Sp_34"	-68.2085405	-7.2085445
"Sp_34"	-68.9585375	-4.2918895
"Sp_34"	-69.1252035	-9.5418685
"Sp_34"	-57.4585835	-5.8752165
"Sp_34"	-54.6252615	-7.7085425
"Sp_34"	-66.7918795	-8.0418745
"Sp_34"	-60.4585715	-8.0418745
"Sp_34"	-69.5418685	-8.7918715
"Sp_34"	-54.3752625	-7.2085445
"Sp_34"	-57.0419185	-8.2918735
"Sp_34"	-60.0419065	-6.8752125
"Sp_34"	-60.7919035	-7.4585435
"Sp_34"	-67.7085425	-13.6251855
"Sp_34"	-65.3752185	-8.7918715
"Sp_34"	-68.1252075	-6.0418825
"Sp_34"	-66.0418825	-15.2085125
"Sp_34"	-64.6252215	-8.5418725
"Sp_34"	-54.8752605	-7.1252115
"Sp_34"	-64.4585555	-14.1251835
"Sp_34"	-66.5418805	-5.4585515
"Sp_34"	-67.3752105	-15.7918435
"Sp_34"	-58.7085785	-6.2918815
"Sp_34"	-72.9585215	-10.1251995
"Sp_34"	-59.2085765	-5.0418865
"Sp_34"	-73.0418545	-6.4585475
"Sp_34"	-60.2085725	-7.2918775
"Sp_34"	-55.9585895	-7.2085445
"Sp_34"	-67.7085425	-11.0418625
"Sp_34"	-67.2918775	-6.6252135
"Sp_34"	-59.1252435	-3.8752245
"Sp_34"	-60.8752365	-7.7085425
"Sp_34"	-68.4585395	-7.9585415
"Sp_34"	-71.7918595	-9.1252035
"Sp_34"	-51.2919415	-9.0418705
"Sp_34"	-56.4585875	-5.2918855
"Sp_34"	-63.7085585	-14.0418505
"Sp_34"	-56.0419225	-5.0418865
"Sp_39"	-64.0418905	-0.4585715
"Sp_39"	-63.5418925	-10.2085325
"Sp_39"	-70.8751965	-5.7918835
"Sp_39"	-69.7085345	-3.2918935
"Sp_39"	-71.7085265	-6.5418805
"Sp_39"	-65.7085505	-7.0418785
"Sp_39"	-64.8752205	1.1247555
"Sp_39"	-66.5418805	-2.9585615
"Sp_39"	-63.5418925	3.2914135
"Sp_39"	-64.7918875	0.2914255
"Sp_39"	-68.2085405	-3.9585575
"Sp_39"	-62.2918975	4.8747405
"Sp_39"	-64.0418905	-2.2085645
"Sp_39"	-63.7918915	3.1247475
"Sp_39"	-68.5418725	-5.7918835
"Sp_39"	-71.4585275	-6.5418805
"Sp_39"	-62.6252295	-5.1252195
"Sp_39"	-60.2085725	-6.7085465
"Sp_39"	-68.7085385	-6.6252135
"Sp_39"	-65.4585515	-3.5418925
"Sp_39"	-61.7085665	-5.7085505
"Sp_39"	-67.4585435	-6.4585475
"Sp_39"	-60.8752365	-8.2085405
"Sp_39"	-64.3752225	-5.8752165
"Sp_39"	-66.2085485	-5.0418865
"Sp_39"	-67.7918755	-3.8752245
"Sp_39"	-68.3752065	-6.4585475
"Sp_39"	-64.2085565	3.8747445
"Sp_39"	-69.6252015	-7.1252115
"Sp_39"	-56.7919195	-6.6252135
"Sp_39"	-63.1252275	-0.3752385
"Sp_39"	-63.9585575	1.5414205
"Sp_39"	-66.7918795	1.6247535
"Sp_39"	-59.9585735	-4.7918875
"Sp_39"	-66.3752145	-3.4585595
"Sp_39"	-60.9585695	-5.7918835
"Sp_39"	-64.2085565	0.8747565
"Sp_39"	-64.2918895	-2.6252295
"Sp_39"	-63.6252255	3.0414145
"Sp_39"	-61.2919015	-7.9585415
"Sp_39"	-58.4585795	-6.6252135
"Sp_39"	-67.7085425	-4.7918875
"Sp_39"	-67.4585435	-4.7085545
"Sp_39"	-62.5418965	-5.0418865
"Sp_39"	-59.4585755	-4.7918875
"Sp_39"	-68.8752045	-6.6252135
"Sp_39"	-60.4585715	-5.8752165
"Sp_39"	-64.3752225	2.4580835
"Sp_39"	-62.1252315	-8.8752045
"Sp_39"	-69.9585335	-3.7918915
